lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
0.0001,0,,,,,
,49,3.439502225078419,0.1328125,0,,
,99,2.747937842132174,0.234375,0,,
,149,2.6168641521485427,0.203125,0,,
,199,2.3956088637950135,0.3125,0,,
,249,2.3196055704469063,0.328125,0,,
,299,2.2094575118190742,0.34375,0,,
,349,2.0344490033994456,0.421875,0,,
,399,2.174343145532151,0.40625,0,,
,449,1.8343982883363592,0.5234375,0,,
,499,1.7691157357268519,0.484375,0,,
,549,1.7399765431538685,0.5078125,0,,
,599,1.973889753776162,0.484375,0,,
,649,1.8467726058828517,0.5,0,,
,699,1.910108106295051,0.4375,0,,
,749,1.7016915596132776,0.515625,0,,
,799,1.4467229455684192,0.5546875,0,,
,849,1.6675133182075772,0.453125,0,,
,899,1.53609719006566,0.5234375,0,,
,949,1.7442803688065085,0.484375,0,,
,999,1.393079229978474,0.59375,0,,
,1049,1.4972122240282255,0.5546875,0,,
,1099,1.7570023149758205,0.46875,0,,
,1149,1.401447185508221,0.5390625,0,,
,1199,1.619607079695628,0.5234375,0,,
,1249,1.4006631699603629,0.546875,0,,
,1299,1.3205683151582872,0.5625,0,,
,1349,1.495957222699431,0.546875,0,,
,1399,1.476294934302115,0.546875,0,,
,1449,1.4003985913522679,0.5,0,,
,1499,1.4617490559197244,0.5234375,0,,
,1549,1.391941648067147,0.5546875,0,,
,1599,1.3944032682221024,0.609375,0,,
,1649,1.2822628643682448,0.59375,0,,
,1699,1.4354744785316216,0.5546875,0,,
,1749,1.24539035332179,0.6484375,0,,
,1799,1.4626053639664582,0.578125,0,,
,1849,1.3930330459280356,0.5859375,0,,
,1899,1.520535145573337,0.59375,0,,
,1949,1.2723389019809574,0.640625,0,,
,1999,1.3427885841822853,0.625,0,,
,2049,1.066616042386052,0.6796875,0,,
,2099,1.175640168223141,0.625,0,,
,2149,1.222033320172128,0.6171875,0,,
,2199,1.5074063240774944,0.5,0,,
,2249,1.6121198165725794,0.46875,0,,
,2299,1.3101771974430474,0.609375,0,,
,2349,1.1944733456655472,0.6171875,0,,
,2399,1.09681564658759,0.6953125,0,,
,2449,1.4067343547593507,0.5859375,0,,
,2499,1.3108477724257173,0.5546875,0,,
,2549,1.2179365027459557,0.5703125,0,,
,2599,1.2073189527240704,0.609375,0,,
,2649,1.1873181809903253,0.6328125,0,,
,2699,1.2585664389398679,0.6015625,0,,
,2749,1.138345426586492,0.5625,0,,
,2799,1.2741343208393472,0.6484375,0,,
,2849,1.0137850142710412,0.6171875,0,,
,2899,1.361020972972935,0.6171875,0,,
,2949,1.4104995593485066,0.578125,0,,
,2999,1.1496339540020215,0.609375,0,,
,3049,1.2560278941131124,0.59375,0,,
,3099,1.234891437424038,0.59375,0,,
,3149,1.449821174693009,0.59375,0,,
,3199,1.2511410646487804,0.6171875,0,,
,3249,0.9779899737354331,0.65625,0,,
,3299,1.0979583931434884,0.6484375,0,,
,3349,0.8660009469397317,0.7265625,0,,
,3399,1.27359906137236,0.5859375,0,,
,3449,1.2585365032748212,0.640625,0,,
,3499,1.0692097919178745,0.6484375,0,,
,3549,1.1559403328873215,0.703125,0,,
,3599,1.4459684084778128,0.5234375,0,,
,3649,1.2815230120803622,0.5625,0,,
,3699,1.0916064870975253,0.640625,0,,
,3749,1.1280557902704371,0.671875,0,,
,3799,1.164559619575042,0.640625,0,,
,3849,1.1029241651399813,0.625,0,,
,3899,1.0946447463138822,0.6484375,0,,
,3949,1.2491522060627476,0.6015625,0,,
,3999,1.1970267998635318,0.6015625,0,,
,4049,1.2803840671129612,0.609375,0,,
,4099,1.088052682671534,0.6953125,0,,
,4149,1.2130025502534538,0.6484375,0,,
,4199,1.2340657458023003,0.6171875,0,,
,4249,1.0862017806661604,0.65625,0,,
,4299,1.3136692298845598,0.578125,0,,
,4349,1.3114251806780859,0.5703125,0,,
,4399,0.9566158799020773,0.671875,0,,
,4449,1.1271747543299602,0.6640625,0,,
,4499,1.171279974944569,0.625,0,,
,4549,0.9259063482365036,0.703125,0,,
,4599,1.1673826667853193,0.59375,0,,
,4649,1.0893477253354338,0.6640625,0,,
,4699,1.083622299993834,0.625,0,,
,4749,1.22912998268992,0.59375,0,,
,4799,1.2019161501088624,0.6015625,0,,
,4849,0.9222554673429351,0.7265625,0,,
,4899,1.0929811281424366,0.6484375,0,,
,4949,1.1962344367790914,0.625,0,,
,4999,1.1408951637030922,0.6640625,0,,
,5049,0.9853584391757928,0.6953125,0,,
,5099,0.947915003096813,0.6796875,0,,
,5149,0.9447517961065405,0.71875,0,,
,5199,1.128030190355616,0.625,0,,
,5249,1.0588549481917664,0.609375,0,,
,5299,1.2165900591723873,0.59375,0,,
,5349,1.0694783765239473,0.65625,0,,
,5399,1.217705295308465,0.640625,0,,
,5449,1.0615346180256988,0.6796875,0,,
,5499,0.9669287941049385,0.7109375,0,,
,5531,,,0,0.9598195245568119,0.6935871327454625
0.0001,5532,,,,,
,5549,1.2347529067988074,0.625,1,,
,5599,1.259198016802737,0.6015625,1,,
,5649,0.9618561478104655,0.6796875,1,,
,5699,1.1709283606860659,0.65625,1,,
,5749,0.9752892071396102,0.7265625,1,,
,5799,1.0832267223210381,0.6015625,1,,
,5849,1.2086897994595769,0.6328125,1,,
,5899,1.121223003457317,0.6171875,1,,
,5949,1.1213565902764706,0.6484375,1,,
,5999,0.9050710733283707,0.703125,1,,
,6049,0.9478468565091943,0.671875,1,,
,6099,1.030105604188281,0.6328125,1,,
,6149,1.0268737423418837,0.6640625,1,,
,6199,0.9089420499471481,0.6875,1,,
,6249,0.9242526801355139,0.6875,1,,
,6299,0.9162994778284824,0.6875,1,,
,6349,0.7846107062106368,0.7734375,1,,
,6399,1.1671519473733967,0.6171875,1,,
,6449,1.3321573385507495,0.6328125,1,,
,6499,1.0133733100792883,0.6328125,1,,
,6549,1.012672851449994,0.671875,1,,
,6599,0.9788962859675792,0.6796875,1,,
,6649,1.0846198851093907,0.6640625,1,,
,6699,0.949814988274195,0.703125,1,,
,6749,0.8959456995773396,0.6953125,1,,
,6799,1.0862953421961257,0.6796875,1,,
,6849,1.1874239222911669,0.5859375,1,,
,6899,1.0385316264096025,0.625,1,,
,6949,1.0029735997862983,0.6953125,1,,
,6999,1.1110275694665586,0.625,1,,
,7049,1.007287337339461,0.734375,1,,
,7099,1.2916918987212382,0.59375,1,,
,7149,0.9118202941912025,0.6875,1,,
,7199,0.8123512902947753,0.7578125,1,,
,7249,1.0485794063985974,0.6328125,1,,
